mp_id,mp_name,state,constituency,mp_type,parliamentary_term,annual_entitlement_demo,data_type
MP038,Suresh Joshi,Odisha,Cuttack,Lok Sabha,18,50000000,SYNTHETIC_DEMO
MP039,Kavita Mehta,Bihar,Muzaffarpur,Lok Sabha,18,50000000,SYNTHETIC_DEMO
MP040,Arjun Nair,Telangana,Hyderabad Rural,Lok Sabha,18,50000000,SYNTHETIC_DEMO
MP041,Meena Sharma,Maharashtra,Nagpur Rural,Rajya Sabha,18,50000000,SYNTHETIC_DEMO
MP042,Nitin Singh,Karnataka,Hubballi,Lok Sabha,18,50000000,SYNTHETIC_DEMO
MP043,Pooja Joshi,Rajasthan,Jaipur Rural,Lok Sabha,18,50000000,SYNTHETIC_DEMO
MP044,Manoj Mehta,West Bengal,Howrah,Lok Sabha,18,50000000,SYNTHETIC_DEMO
MP045,Deepak Nair,Gujarat,Vadodara,Lok Sabha,18,50000000,SYNTHETIC_DEMO
MP046,Amit Sharma,Uttar Pradesh,Lucknow East,Rajya Sabha,18,50000000,SYNTHETIC_DEMO
MP047,Rahul Singh,Tamil Nadu,Madurai,Lok Sabha,18,50000000,SYNTHETIC_DEMO
MP048,Priya Joshi,Odisha,Sambalpur,Lok Sabha,18,50000000,SYNTHETIC_DEMO
MP049,Anita Mehta,Bihar,Patna Rural,Lok Sabha,18,50000000,SYNTHETIC_DEMO
MP050,Ravi Nair,Telangana,Warangal,Lok Sabha,18,50000000,SYNTHETIC_DEMO
MP051,Neha Sharma,Maharashtra,Nashik Central,Rajya Sabha,18,50000000,SYNTHETIC_DEMO
MP052,Vikram Singh,Karnataka,Bengaluru North,Lok Sabha,18,50000000,SYNTHETIC_DEMO
MP053,Suresh Joshi,Rajasthan,Kota,Lok Sabha,18,50000000,SYNTHETIC_DEMO
MP054,Kavita Mehta,West Bengal,Malda,Lok Sabha,18,50000000,SYNTHETIC_DEMO
MP055,Arjun Nair,Gujarat,Ahmedabad West,Lok Sabha,18,50000000,SYNTHETIC_DEMO
MP056,Meena Sharma,Uttar Pradesh,Varanasi Rural,Rajya Sabha,18,50000000,SYNTHETIC_DEMO
MP057,Nitin Singh,Tamil Nadu,Salem,Lok Sabha,18,50000000,SYNTHETIC_DEMO
MP058,Pooja Joshi,Odisha,Bhubaneswar,Lok Sabha,18,50000000,SYNTHETIC_DEMO
MP059,Manoj Mehta,Bihar,Gaya,Lok Sabha,18,50000000,SYNTHETIC_DEMO
MP060,Deepak Nair,Telangana,Nizamabad,Lok Sabha,18,50000000,SYNTHETIC_DEMO
