project_id,mp_id,mp_name,state,constituency,mp_type,parliamentary_term,district,block,village,sector,sub_sector,project_name,recommended_amount,sanctioned_amount,funds_released,expenditure,unspent_balance,start_date,expected_completion_date,reported_progress_pct,work_status,data_type,risk_score,risk_level,cost_anomaly_score,progress_anomaly_score,delay_risk_score,duplicate_similarity_score,risk_reasons,risk_last_updated
P00011,MP018,Priya Joshi,Odisha,Sambalpur,Lok Sabha,18,District D,Block 4,Village Delta,Education,Libraries,Libraries Improvement at Village Delta,1511000,1564000,1193000,757000,436000,2026-03-13,2026-08-21,63.0,Ongoing,SYNTHETIC_DEMO,28.6,LOW,87.708,0.544,3.014,0.0,Cost unusually high relative to peer projects,2026-09-01
P00012,MP025,Arjun Nair,Gujarat,Ahmedabad West,Lok Sabha,18,District E,Block 5,Village Epsilon,Roads,Internal Roads,Internal Roads Improvement at Village Epsilon,1494000,1470000,1154000,622000,532000,2022-09-11,2023-08-05,56.5,Stalled,SYNTHETIC_DEMO,32.2,LOW,35.599,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00013,MP032,Rahul Singh,Karnataka,Mysuru,Lok Sabha,18,District C,Block 3,Village Gamma,Electricity,Street Lighting,Street Lighting Improvement at Village Gamma,946000,982000,650000,211000,439000,2023-10-22,2025-04-28,40.0,Stalled,SYNTHETIC_DEMO,25.8,LOW,6.495,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00014,MP039,Kavita Mehta,Bihar,Muzaffarpur,Lok Sabha,18,District C,Block 3,Village Gamma,Community Assets,Public Shelters,Public Shelters Improvement at Village Gamma,1445000,1360000,1317000,413000,904000,2024-04-28,2025-07-25,49.4,Stalled,SYNTHETIC_DEMO,30.9,LOW,48.757,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00015,MP046,Amit Sharma,Uttar Pradesh,Lucknow East,Rajya Sabha,18,District B,Block 2,Village Beta,Water Supply,Borewells,Borewells Improvement at Village Beta,949000,973000,928000,684000,244000,2025-08-30,2026-05-22,77.2,Delayed,SYNTHETIC_DEMO,6.3,LOW,6.659,0.0,27.945,0.0,Project duration/status indicates delay risk,2026-09-01
P00016,MP053,Suresh Joshi,Rajasthan,Kota,Lok Sabha,18,District C,Block 3,Village Gamma,Sanitation,Waste Management,Waste Management Improvement at Village Gamma,701000,723000,400000,94000,306000,2024-11-02,2026-02-23,10.6,Delayed,SYNTHETIC_DEMO,22.4,LOW,0.0,15.48,52.055,0.0,Project duration/status indicates delay risk,2026-09-01
P00017,MP060,Deepak Nair,Telangana,Nizamabad,Lok Sabha,18,District F,Block 6,Village Zeta,Education,Classrooms,Classrooms Improvement at Village Zeta,802000,792000,686000,286000,400000,2022-07-24,2023-06-13,67.3,Stalled,SYNTHETIC_DEMO,20.9,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00018,MP007,Vikram Singh,Tamil Nadu,Coimbatore,Lok Sabha,18,District F,Block 6,Village Zeta,Electricity,Street Lighting,Street Lighting Improvement at Village Zeta,300000,277000,228000,78000,150000,2024-06-30,2025-06-29,50.8,Stalled,SYNTHETIC_DEMO,19.3,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00019,MP014,Manoj Mehta,West Bengal,Howrah,Lok Sabha,18,District F,Block 6,Village Zeta,Roads,Internal Roads,Internal Roads Improvement at Village Zeta,871000,913000,602000,255000,347000,2023-06-10,2025-01-31,58.0,Stalled,SYNTHETIC_DEMO,16.2,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00020,MP021,Neha Sharma,Maharashtra,Nashik Central,Rajya Sabha,18,District C,Block 3,Village Gamma,Health,Health Infrastructure,Health Infrastructure Improvement at Village Gamma,1473000,3255000,2006000,372000,1634000,2023-09-25,2024-05-14,45.4,Stalled,SYNTHETIC_DEMO,65.0,MEDIUM,100.0,0.0,100.0,0.0,Cost unusually high relative to peer projects | Project duration/status indicates delay risk,2026-09-01
P00021,MP028,Pooja Joshi,Odisha,Bhubaneswar,Lok Sabha,18,District G,Block 7,Village Eta,Water Supply,Borewells,Borewells Improvement at Village Eta,951000,959000,535000,262000,273000,2025-07-09,2026-11-19,42.1,Ongoing,SYNTHETIC_DEMO,7.8,LOW,5.364,8.246,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00022,MP035,Ravi Nair,Gujarat,Surat Rural,Lok Sabha,18,District C,Block 3,Village Gamma,Education,Classrooms,Classrooms Improvement at Village Gamma,402000,390000,379000,282000,97000,2025-02-07,2025-11-24,73.1,Stalled,SYNTHETIC_DEMO,65.0,MEDIUM,0.0,1.568,76.986,0.0,Project duration/status indicates delay risk,2026-09-01
P00023,MP042,Nitin Singh,Karnataka,Hubballi,Lok Sabha,18,District B,Block 2,Village Beta,Roads,Village Roads,Village Roads Improvement at Village Beta,1512000,1552000,1241000,743000,498000,2023-02-08,2023-10-19,46.6,Stalled,SYNTHETIC_DEMO,38.0,LOW,50.138,15.925,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00024,MP049,Anita Mehta,Bihar,Patna Rural,Lok Sabha,18,District B,Block 2,Village Beta,Electricity,Solar Pumps,Solar Pumps Improvement at Village Beta,779000,781000,549000,424000,125000,2024-05-28,2025-09-20,87.4,Stalled,SYNTHETIC_DEMO,20.4,LOW,0.0,0.0,94.795,0.0,Project duration/status indicates delay risk,2026-09-01
P00025,MP056,Meena Sharma,Uttar Pradesh,Varanasi Rural,Rajya Sabha,18,District E,Block 5,Village Epsilon,Sanitation,Solid Waste Facilities,Solid Waste Facilities Improvement at Village Epsilon,573000,539000,514000,294000,220000,2025-05-08,2025-08-17,61.7,Stalled,SYNTHETIC_DEMO,26.7,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00026,MP003,Priya Joshi,Rajasthan,Udaipur,Lok Sabha,18,District C,Block 3,Village Gamma,Community Assets,Community Halls,Community Halls Improvement at Village Gamma,404000,383000,333000,243000,90000,2025-11-03,2027-01-15,73.2,Ongoing,SYNTHETIC_DEMO,4.3,LOW,0.0,0.0,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00027,MP010,Arjun Nair,Telangana,Hyderabad Rural,Lok Sabha,18,District G,Block 7,Village Eta,Roads,Bridges,Bridges Improvement at Village Eta,1520000,1417000,1014000,693000,321000,2023-02-18,2024-08-25,69.8,Stalled,SYNTHETIC_DEMO,28.6,LOW,39.223,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00028,MP017,Rahul Singh,Tamil Nadu,Madurai,Lok Sabha,18,District C,Block 3,Village Gamma,Roads,Bridges,Bridges Improvement at Village Gamma,762000,751000,608000,132000,476000,2025-02-03,2025-08-20,37.3,Stalled,SYNTHETIC_DEMO,9.8,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00029,MP024,Kavita Mehta,West Bengal,Malda,Lok Sabha,18,District D,Block 4,Village Delta,Electricity,Power Infrastructure,Power Infrastructure Improvement at Village Delta,444000,463000,453000,349000,104000,2023-02-08,2024-05-25,70.0,Stalled,SYNTHETIC_DEMO,23.3,LOW,0.0,8.45,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00030,MP031,Amit Sharma,Maharashtra,Pune East,Rajya Sabha,18,District D,Block 4,Village Delta,Electricity,Solar Lighting,Solar Lighting Improvement at Village Delta,1442000,1487000,1015000,614000,401000,2025-08-09,2026-10-04,79.0,Ongoing,SYNTHETIC_DEMO,65.0,MEDIUM,66.324,0.0,0.0,95.6,Cost unusually high relative to peer projects | Potential duplicate/near-duplicate project detected,2026-09-01
P00031,MP038,Suresh Joshi,Odisha,Cuttack,Lok Sabha,18,District B,Block 2,Village Beta,Health,Health Centres,Health Centres Improvement at Village Beta,997000,991000,588000,311000,277000,2024-04-13,2025-05-22,49.3,Stalled,SYNTHETIC_DEMO,23.5,LOW,22.747,4.309,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00032,MP045,Deepak Nair,Gujarat,Vadodara,Lok Sabha,18,District D,Block 4,Village Delta,Water Supply,Pipelines,Pipelines Improvement at Village Delta,921000,931000,663000,540000,123000,2025-06-05,2025-11-22,81.6,Stalled,SYNTHETIC_DEMO,15.5,LOW,0.0,0.0,77.534,0.0,Project duration/status indicates delay risk,2026-09-01
P00033,MP052,Vikram Singh,Karnataka,Bengaluru North,Lok Sabha,18,District B,Block 2,Village Beta,Roads,Drainage Roads,Drainage Roads Improvement at Village Beta,1245000,1275000,1074000,330000,744000,2025-03-26,2025-10-30,61.7,Stalled,SYNTHETIC_DEMO,26.1,LOW,34.591,0.0,83.836,0.0,Project duration/status indicates delay risk,2026-09-01
P00034,MP059,Manoj Mehta,Bihar,Gaya,Lok Sabha,18,District C,Block 3,Village Gamma,Water Supply,Community Water Points,Community Water Points Improvement at Village Gamma,650000,637000,506000,354000,152000,2023-09-25,2025-06-16,70.3,Stalled,SYNTHETIC_DEMO,20.4,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00035,MP006,Neha Sharma,Uttar Pradesh,Prayagraj,Rajya Sabha,18,District D,Block 4,Village Delta,Electricity,Solar Pumps,Solar Pumps Improvement at Village Delta,939000,908000,551000,189000,362000,2025-04-09,2026-01-29,76.9,Stalled,SYNTHETIC_DEMO,11.1,LOW,5.011,0.0,58.904,0.0,Project duration/status indicates delay risk,2026-09-01
P00036,MP013,Pooja Joshi,Rajasthan,Jaipur Rural,Lok Sabha,18,District G,Block 7,Village Eta,Community Assets,Public Shelters,Public Shelters Improvement at Village Eta,918000,909000,761000,440000,321000,2026-01-05,2027-04-22,50.8,Ongoing,SYNTHETIC_DEMO,8.8,LOW,4.953,8.422,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00037,MP020,Ravi Nair,Telangana,Warangal,Lok Sabha,18,District B,Block 2,Village Beta,Health,Health Infrastructure,Health Infrastructure Improvement at Village Beta,1187000,1134000,848000,220000,628000,2023-08-21,2024-07-06,24.7,Stalled,SYNTHETIC_DEMO,23.5,LOW,8.414,1.492,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00038,MP027,Nitin Singh,Tamil Nadu,Salem,Lok Sabha,18,District A,Block 1,Village Alpha,Roads,Bridges,Bridges Improvement at Village Alpha,2807000,2823000,1908000,872000,1036000,2025-07-18,2027-05-06,60.6,Ongoing,SYNTHETIC_DEMO,26.5,LOW,100.0,0.0,0.0,0.0,Cost unusually high relative to peer projects,2026-09-01
P00039,MP034,Anita Mehta,West Bengal,Kolkata North,Lok Sabha,18,District C,Block 3,Village Gamma,Water Supply,Water Tanks,Water Tanks Improvement at Village Gamma,2606000,2481000,1762000,620000,1142000,2022-08-24,2023-01-21,29.7,Stalled,SYNTHETIC_DEMO,55.3,MEDIUM,100.0,6.585,100.0,0.0,Cost unusually high relative to peer projects | Project duration/status indicates delay risk,2026-09-01
P00040,MP041,Meena Sharma,Maharashtra,Nagpur Rural,Rajya Sabha,18,District A,Block 1,Village Alpha,Water Supply,Pipelines,Pipelines Improvement at Village Alpha,756000,735000,608000,253000,355000,2024-02-06,2024-07-17,42.3,Stalled,SYNTHETIC_DEMO,14.9,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00041,MP048,Priya Joshi,Odisha,Sambalpur,Lok Sabha,18,District E,Block 5,Village Epsilon,Sanitation,Waste Management,Waste Management Improvement at Village Epsilon,658000,679000,575000,296000,279000,2025-12-31,2027-08-10,57.4,Ongoing,SYNTHETIC_DEMO,5.1,LOW,0.0,0.0,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00042,MP055,Arjun Nair,Gujarat,Ahmedabad West,Lok Sabha,18,District H,Block 8,Village Theta,Water Supply,Water Tanks,Water Tanks Improvement at Village Theta,2498000,2447000,1947000,518000,1429000,2023-08-11,2025-03-07,32.6,Stalled,SYNTHETIC_DEMO,54.0,MEDIUM,100.0,0.0,100.0,0.0,Cost unusually high relative to peer projects | Project duration/status indicates delay risk,2026-09-01
P00043,MP002,Rahul Singh,Karnataka,Mysuru,Lok Sabha,18,District D,Block 4,Village Delta,Electricity,Solar Pumps,Solar Pumps Improvement at Village Delta,830000,771000,459000,113000,346000,2022-10-11,2023-04-18,50.0,Stalled,SYNTHETIC_DEMO,25.6,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00044,MP009,Kavita Mehta,Bihar,Muzaffarpur,Lok Sabha,18,District F,Block 6,Village Zeta,Community Assets,Market Sheds,Market Sheds Improvement at Village Zeta,607000,568000,490000,202000,288000,2024-08-15,2025-06-09,66.4,Stalled,SYNTHETIC_DEMO,65.0,MEDIUM,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00045,MP016,Amit Sharma,Uttar Pradesh,Lucknow East,Rajya Sabha,18,District B,Block 2,Village Beta,Health,Health Centres,Health Centres Improvement at Village Beta,1300000,1226000,1088000,728000,360000,2022-08-03,2023-05-09,56.1,Delayed,SYNTHETIC_DEMO,65.0,MEDIUM,47.902,12.974,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00046,MP023,Suresh Joshi,Rajasthan,Kota,Lok Sabha,18,District B,Block 2,Village Beta,Community Assets,Public Shelters,Public Shelters Improvement at Village Beta,773000,787000,700000,322000,378000,2023-08-23,2024-06-04,74.4,Stalled,SYNTHETIC_DEMO,20.3,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00047,MP030,Deepak Nair,Telangana,Nizamabad,Lok Sabha,18,District C,Block 3,Village Gamma,Water Supply,Community Water Points,Community Water Points Improvement at Village Gamma,1632000,1691000,1226000,698000,528000,2024-08-12,2025-05-16,69.3,Stalled,SYNTHETIC_DEMO,44.6,MEDIUM,83.235,0.0,100.0,0.0,Cost unusually high relative to peer projects | Project duration/status indicates delay risk,2026-09-01
P00048,MP037,Vikram Singh,Tamil Nadu,Coimbatore,Lok Sabha,18,District D,Block 4,Village Delta,Education,Laboratories,Laboratories Improvement at Village Delta,523000,501000,350000,118000,232000,2022-09-02,2024-02-27,73.0,Stalled,SYNTHETIC_DEMO,17.4,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00049,MP044,Manoj Mehta,West Bengal,Howrah,Lok Sabha,18,District A,Block 1,Village Alpha,Electricity,Street Lighting,Street Lighting Improvement at Village Alpha,1374000,1352000,779000,135000,644000,2025-11-26,2027-08-31,8.9,Ongoing,SYNTHETIC_DEMO,12.4,LOW,40.34,10.116,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00050,MP051,Neha Sharma,Maharashtra,Nashik Central,Rajya Sabha,18,District B,Block 2,Village Beta,Electricity,Street Lighting,Street Lighting Improvement at Village Beta,1165000,1165000,694000,413000,281000,2023-07-29,2024-04-14,61.3,Stalled,SYNTHETIC_DEMO,25.5,LOW,23.235,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00051,MP058,Pooja Joshi,Odisha,Bhubaneswar,Lok Sabha,18,District H,Block 8,Village Theta,Health,Health Infrastructure,Health Infrastructure Improvement at Village Theta,1017000,946000,556000,404000,152000,2023-06-12,2024-10-24,81.7,Stalled,SYNTHETIC_DEMO,65.0,MEDIUM,0.0,0.0,100.0,93.8,Project duration/status indicates delay risk | Potential duplicate/near-duplicate project detected,2026-09-01
P00052,MP005,Ravi Nair,Gujarat,Surat Rural,Lok Sabha,18,District C,Block 3,Village Gamma,Roads,Internal Roads,Internal Roads Improvement at Village Gamma,559000,1515000,778000,135000,643000,2022-04-05,2023-08-07,64.1,Stalled,SYNTHETIC_DEMO,65.0,MEDIUM,39.239,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00053,MP012,Nitin Singh,Karnataka,Hubballi,Lok Sabha,18,District E,Block 5,Village Epsilon,Education,Laboratories,Laboratories Improvement at Village Epsilon,888000,831000,501000,227000,274000,2024-08-14,2026-06-04,65.0,Ongoing,SYNTHETIC_DEMO,4.7,LOW,0.0,0.0,24.384,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00054,MP019,Anita Mehta,Bihar,Patna Rural,Lok Sabha,18,District C,Block 3,Village Gamma,Community Assets,Market Sheds,Market Sheds Improvement at Village Gamma,1395000,1324000,1302000,362000,940000,2023-04-24,2024-05-21,54.0,Stalled,SYNTHETIC_DEMO,35.0,LOW,54.239,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00055,MP026,Meena Sharma,Uttar Pradesh,Varanasi Rural,Rajya Sabha,18,District A,Block 1,Village Alpha,Water Supply,Pipelines,Pipelines Improvement at Village Alpha,1688000,1674000,1651000,1061000,590000,2024-01-03,2024-05-30,78.8,Stalled,SYNTHETIC_DEMO,34.3,LOW,62.435,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00056,MP033,Priya Joshi,Rajasthan,Udaipur,Lok Sabha,18,District C,Block 3,Village Gamma,Roads,Drainage Roads,Drainage Roads Improvement at Village Gamma,1571000,1455000,984000,403000,581000,2022-07-26,2024-03-27,66.1,Stalled,SYNTHETIC_DEMO,30.7,LOW,51.239,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00057,MP040,Arjun Nair,Telangana,Hyderabad Rural,Lok Sabha,18,District B,Block 2,Village Beta,Roads,Internal Roads,Internal Roads Improvement at Village Beta,1680000,1587000,1204000,914000,290000,2025-08-01,2026-01-07,95.6,Stalled,SYNTHETIC_DEMO,34.2,LOW,45.065,0.0,64.932,0.0,Project duration/status indicates delay risk,2026-09-01
P00058,MP047,Rahul Singh,Tamil Nadu,Madurai,Lok Sabha,18,District G,Block 7,Village Eta,Community Assets,Parks,Parks Improvement at Village Eta,1128000,1062000,1019000,605000,414000,2022-12-02,2024-10-05,48.1,Stalled,SYNTHETIC_DEMO,25.3,LOW,14.782,13.526,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00059,MP054,Kavita Mehta,West Bengal,Malda,Lok Sabha,18,District B,Block 2,Village Beta,Water Supply,Pipelines,Pipelines Improvement at Village Beta,1918000,2011000,1242000,721000,521000,2024-08-06,2026-06-24,47.9,Ongoing,SYNTHETIC_DEMO,36.8,LOW,91.78,12.182,18.904,0.0,Cost unusually high relative to peer projects,2026-09-01
P00060,MP001,Amit Sharma,Maharashtra,Pune East,Rajya Sabha,18,District E,Block 5,Village Epsilon,Sanitation,Drainage,Drainage Improvement at Village Epsilon,842000,826000,608000,445000,163000,2023-05-24,2024-07-08,61.0,Stalled,SYNTHETIC_DEMO,24.3,LOW,0.0,14.629,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00061,MP008,Suresh Joshi,Odisha,Cuttack,Lok Sabha,18,District G,Block 7,Village Eta,Water Supply,Borewells,Borewells Improvement at Village Eta,894000,912000,889000,669000,220000,2022-12-25,2024-01-26,67.9,Stalled,SYNTHETIC_DEMO,11.4,LOW,1.017,8.824,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00062,MP015,Deepak Nair,Gujarat,Vadodara,Lok Sabha,18,District B,Block 2,Village Beta,Health,Community Clinics,Community Clinics Improvement at Village Beta,315000,315000,206000,109000,97000,2022-04-20,2023-10-31,51.3,Stalled,SYNTHETIC_DEMO,27.7,LOW,0.0,1.935,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00063,MP022,Vikram Singh,Karnataka,Bengaluru North,Lok Sabha,18,District B,Block 2,Village Beta,Sanitation,Public Toilets,Public Toilets Improvement at Village Beta,2442000,2412000,2252000,634000,1618000,2025-04-06,2026-02-08,45.9,Stalled,SYNTHETIC_DEMO,44.0,MEDIUM,100.0,0.0,56.164,0.0,Cost unusually high relative to peer projects | Project duration/status indicates delay risk,2026-09-01
P00064,MP029,Manoj Mehta,Bihar,Gaya,Lok Sabha,18,District C,Block 3,Village Gamma,Sanitation,Drainage,Drainage Improvement at Village Gamma,992000,916000,815000,228000,587000,2024-03-15,2024-08-22,65.8,Stalled,SYNTHETIC_DEMO,16.9,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00065,MP036,Neha Sharma,Uttar Pradesh,Prayagraj,Rajya Sabha,18,District C,Block 3,Village Gamma,Water Supply,Borewells,Borewells Improvement at Village Gamma,1773000,1722000,1722000,1509000,213000,2023-02-18,2024-08-09,16.6,Stalled,SYNTHETIC_DEMO,65.0,MEDIUM,75.934,85.237,100.0,0.0,Cost unusually high relative to peer projects | Expenditure is high relative to reported progress | Project duration/status indicates delay risk,2026-09-01
P00066,MP043,Pooja Joshi,Rajasthan,Jaipur Rural,Lok Sabha,18,District A,Block 1,Village Alpha,Electricity,Power Infrastructure,Power Infrastructure Improvement at Village Alpha,250000,250000,235000,150000,85000,2025-12-28,2027-10-16,47.5,Ongoing,SYNTHETIC_DEMO,0.3,LOW,0.0,19.596,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00067,MP050,Ravi Nair,Telangana,Warangal,Lok Sabha,18,District C,Block 3,Village Gamma,Education,School Buildings,School Buildings Improvement at Village Gamma,250000,251000,165000,132000,33000,2023-09-24,2024-05-28,80.5,Delayed,SYNTHETIC_DEMO,65.0,MEDIUM,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00068,MP057,Nitin Singh,Tamil Nadu,Salem,Lok Sabha,18,District E,Block 5,Village Epsilon,Roads,Internal Roads,Internal Roads Improvement at Village Epsilon,1223000,1201000,1021000,411000,610000,2023-10-30,2025-10-08,64.0,Delayed,SYNTHETIC_DEMO,18.5,LOW,13.835,0.0,89.863,0.0,Project duration/status indicates delay risk,2026-09-01
P00069,MP004,Anita Mehta,West Bengal,Kolkata North,Lok Sabha,18,District D,Block 4,Village Delta,Water Supply,Borewells,Borewells Improvement at Village Delta,831000,787000,562000,272000,290000,2026-02-06,2027-02-01,46.0,Ongoing,SYNTHETIC_DEMO,0.0,LOW,0.0,2.878,0.0,0.0,No dominant anomaly signal; routine monitoring,2026-09-01
P00070,MP011,Meena Sharma,Maharashtra,Nagpur Rural,Rajya Sabha,18,District E,Block 5,Village Epsilon,Sanitation,Solid Waste Facilities,Solid Waste Facilities Improvement at Village Epsilon,916000,852000,804000,341000,463000,2022-07-14,2023-01-14,81.4,Stalled,SYNTHETIC_DEMO,17.1,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00071,MP018,Priya Joshi,Odisha,Sambalpur,Lok Sabha,18,District E,Block 5,Village Epsilon,Community Assets,Market Sheds,Market Sheds Improvement at Village Epsilon,745000,745000,533000,152000,381000,2022-06-30,2022-10-01,11.6,Stalled,SYNTHETIC_DEMO,25.4,LOW,0.0,20.301,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00072,MP025,Arjun Nair,Gujarat,Ahmedabad West,Lok Sabha,18,District E,Block 5,Village Epsilon,Education,Classrooms,Classrooms Improvement at Village Epsilon,469000,464000,278000,162000,116000,2023-02-25,2024-08-20,98.7,Completed,SYNTHETIC_DEMO,25.5,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
P00073,MP032,Rahul Singh,Karnataka,Mysuru,Lok Sabha,18,District A,Block 1,Village Alpha,Sanitation,Solid Waste Facilities,Solid Waste Facilities Improvement at Village Alpha,585000,547000,520000,110000,410000,2022-11-16,2023-05-02,26.9,Stalled,SYNTHETIC_DEMO,27.2,LOW,0.0,0.0,100.0,0.0,Project duration/status indicates delay risk,2026-09-01
